date,type,category,vendor,description,amount_thb,amount_usd,currency,source_file,notes
2025-10-09,income,Sales,,Americano/M,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,income,Sales,,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,income,Sales,,Croissant,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,income,Sales,,Americano/L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,income,Sales,,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,income,Sales,,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,income,Sales,,Iced Latte/L,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,income,Sales,,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,income,Sales,,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,income,Sales,,Cappuccino,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,income,Sales,,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,income,Sales,,Americano/L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,income,Sales,,Matcha Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,income,Sales,,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,income,Sales,,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,income,Sales,,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,income,Sales,,Latte,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,income,Sales,,Mocha,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,income,Sales,,Matcha Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,income,Sales,,Americano,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,income,Sales,,Iced Latte,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,income,Sales,,Americano,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,income,Sales,,Iced Latte,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,income,Sales,,Americano/M,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,income,Sales,,Cinnamon Roll,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,income,Sales,,Banana Bread,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,income,Sales,,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,expense,Dairy & Pastry,,Pastry order,-3800.0,-118.75,THB,expenses_2025.csv,
2025-10-13,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3850.0,-120.31,THB,supplier_invoices.csv,inv INV1005
2025-10-14,income,Sales,,Latte,-75.0,-2.34,THB,pos_export_oct2025-mar2026.csv,void
2025-10-14,income,Sales,,Almond Croissant,-85.0,-2.66,THB,pos_export_oct2025-mar2026.csv,void
2025-10-14,income,Sales,,Chocolate Cookie,-45.0,-1.41,THB,pos_export_oct2025-mar2026.csv,void
2025-10-15,income,Sales,,Chocolate Cookie,-45.0,-1.41,THB,pos_export_oct2025-mar2026.csv,void
2025-10-15,income,Sales,,Mocha,-95.0,-2.97,THB,pos_export_oct2025-mar2026.csv,void
2025-10-15,expense,Other,,Cleaning supplies,-1850.0,-57.81,THB,expenses_2025.csv,
2025-10-15,expense,Other,GreenLeaf Pastry,Mixed pastries,-3540.0,-110.62,THB,supplier_invoices.csv,inv INV1006
2025-10-15,expense,Rent & Utilities,,Electricity,-7200,-225.0,THB,rent_utilities.txt,
2025-10-15,expense,Rent & Utilities,,Water,-800,-25.0,THB,rent_utilities.txt,avg
2025-10-15,expense,Rent & Utilities,TOT,Internet,-1290,-40.31,THB,rent_utilities.txt,
2025-10-18,income,Sales,,Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,income,Sales,,Cappuccino/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,income,Sales,,Americano,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,income,Sales,,Espresso/S,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,income,Sales,,Matcha Latte,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,income,Sales,,Cappuccino,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,income,Sales,,Latte,81.0,2.53,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,income,Sales,,Mocha,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,income,Sales,,Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,income,Sales,,Cold Brew,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,income,Sales,,Almond Croissant,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,income,Sales,,Espresso,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,expense,Coffee Beans,Doi Chaang Coffee,Specialty coffee beans,-5200.0,-162.5,THB,supplier_invoices.csv,inv INV1007
2025-10-20,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3640.0,-113.75,THB,supplier_invoices.csv,inv INV1008
2025-10-21,income,Sales,,Croissant,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,income,Sales,,Matcha Latte,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,income,Sales,,Mocha,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,income,Sales,,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,income,Sales,,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,income,Sales,,Latte,-75.0,-2.34,THB,pos_export_oct2025-mar2026.csv,void
2025-10-21,income,Sales,,Latte,-75.0,-2.34,THB,pos_export_oct2025-mar2026.csv,void
2025-10-21,income,Sales,,Latte,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,income,Sales,,Banana Bread,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-22,income,Sales,,Banana Bread,-55.0,-1.72,THB,pos_export_oct2025-mar2026.csv,void
2025-10-22,income,Sales,,Almond Croissant,-85.0,-2.66,THB,pos_export_oct2025-mar2026.csv,void
2025-10-22,income,Sales,,Croissant,-65.0,-2.03,THB,pos_export_oct2025-mar2026.csv,void
2025-10-22,expense,Coffee Beans,Beans Doi Chaang 5kg,Beans Doi Chaang 5kg,-2600.0,-81.25,THB,expenses_2025.csv,
2025-10-22,expense,Other,GreenLeaf Pastry,Mixed pastries,-3180.0,-99.38,THB,supplier_invoices.csv,inv INV1009
2025-10-24,income,Sales,,Mocha,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-24,income,Sales,,Espresso,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-24,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-10-24,income,Sales,,Mocha,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-24,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-24,income,Sales,,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-24,income,Sales,,Americano,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2025-10-27,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3150.0,-98.44,THB,supplier_invoices.csv,inv INV1010
2025-10-28,income,Sales,,Banana Bread,-55.0,-1.72,THB,pos_export_oct2025-mar2026.csv,void
2025-10-29,income,Sales,,Cappuccino,-75.0,-2.34,THB,pos_export_oct2025-mar2026.csv,void
2025-10-29,income,Sales,,Mocha,-95.0,-2.97,THB,pos_export_oct2025-mar2026.csv,void
2025-10-29,expense,Other,GreenLeaf Pastry,Mixed pastries,-3060.0,-95.62,THB,supplier_invoices.csv,inv INV1011
2025-10-31,income,Sales,,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,income,Sales,,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,income,Sales,,Matcha Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,income,Sales,,Americano,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,income,Sales,,Americano/L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,income,Sales,,Cappuccino/M,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,income,Sales,,Americano,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,income,Sales,,Americano/M,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,income,Sales,,Almond Croissant,77.0,2.41,THB,pos_export_oct2025-mar2026.csv,
2025-11-01,expense,Payroll,,Payroll — Pim (s001),-19500.0,-609.38,THB,staff_payroll.csv,
2025-11-01,expense,Payroll,,Payroll — Niran (s002),-18000.0,-562.5,THB,staff_payroll.csv,
2025-11-01,expense,Payroll,,Payroll — Maya (s003),-18500.0,-578.12,THB,staff_payroll.csv,cash extra ฿2000 (เงินสด)
2025-11-01,expense,Payroll,,Payroll — Boom (s004),-17500.0,-546.88,THB,staff_payroll.csv,
2025-11-01,expense,Rent & Utilities,,Property tax (annual),-18000,-562.5,THB,rent_utilities.txt,annual
2025-11-02,expense,Dairy & Pastry,,Milk delivery weekly,-4400.0,-137.5,THB,expenses_2025.csv,
2025-11-03,income,Sales,,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,income,Sales,,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,income,Sales,,Americano,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,income,Sales,,Espresso/S,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,income,Sales,,Cappuccino,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,income,Sales,,Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,income,Sales,,Croissant,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3220.0,-100.62,THB,supplier_invoices.csv,inv INV1012
2025-11-04,income,Sales,,Latte,-75.0,-2.34,THB,pos_export_oct2025-mar2026.csv,void
2025-11-04,income,Sales,,Iced Latte,-95.0,-2.97,THB,pos_export_oct2025-mar2026.csv,void
2025-11-04,income,Sales,,Cappuccino,-75.0,-2.34,THB,pos_export_oct2025-mar2026.csv,void
2025-11-05,expense,Other,,Equipment service - grinder,-3500.0,-109.38,THB,expenses_2025.csv,
2025-11-05,expense,Coffee Beans,Doi Chaang Coffee,Specialty coffee beans,-5800.0,-181.25,THB,supplier_invoices.csv,inv INV1013
2025-11-05,expense,Other,GreenLeaf Pastry,Mixed pastries,-3180.0,-99.38,THB,supplier_invoices.csv,inv INV1014
2025-11-05,expense,Rent & Utilities,NK Property,Monthly rent,-45000,-1406.25,THB,rent_utilities.txt,
2025-11-06,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,income,Sales,,Latte,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,income,Sales,,Latte,81.0,2.53,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,income,Sales,,Cappuccino/M,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,income,Sales,,Iced Latte,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,income,Sales,,Chocolate Cookie,41.0,1.28,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,income,Sales,,Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,income,Sales,,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,income,Sales,,Americano,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2025-11-10,expense,Coffee Beans,Beans Doi Chaang 8kg,Beans Doi Chaang 8kg,-4640.0,-145.0,THB,expenses_2025.csv,
2025-11-10,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3780.0,-118.12,THB,supplier_invoices.csv,inv INV1015
2025-11-12,expense,Other,GreenLeaf Pastry,Mixed pastries,-4380.0,-136.88,THB,supplier_invoices.csv,inv INV1016
2025-11-15,income,Sales,,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,income,Sales,,Espresso,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,income,Sales,,Espresso,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,income,Sales,,Latte/L,81.0,2.53,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,income,Sales,,Matcha Latte/M,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,income,Sales,,Cold Brew,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,income,Sales,,Matcha Latte/M,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,income,Sales,,Chocolate Cookie,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,income,Sales,,Latte/M,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,income,Sales,,Americano/L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,expense,Rent & Utilities,,Electricity,-6800,-212.5,THB,rent_utilities.txt,
2025-11-15,expense,Rent & Utilities,,Water,-800,-25.0,THB,rent_utilities.txt,avg
2025-11-15,expense,Rent & Utilities,TOT,Internet,-1290,-40.31,THB,rent_utilities.txt,
2025-11-17,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3500.0,-109.38,THB,supplier_invoices.csv,inv INV1017
2025-11-18,income,Sales,,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-11-18,income,Sales,,Almond Croissant,77.0,2.41,THB,pos_export_oct2025-mar2026.csv,
2025-11-18,income,Sales,,Cappuccino,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-11-18,income,Sales,,Croissant,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-11-18,income,Sales,,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-11-18,income,Sales,,Espresso,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2025-11-18,income,Sales,,Americano/L,67.0,2.09,THB,pos_export_oct2025-mar2026.csv,
2025-11-18,expense,Dairy & Pastry,,Pastry order,-4100.0,-128.12,THB,expenses_2025.csv,
2025-11-18,expense,Coffee Beans,Doi Chaang Coffee,Specialty coffee beans,-4640.0,-145.0,THB,supplier_invoices.csv,inv INV1018
2025-11-19,expense,Other,GreenLeaf Pastry,Mixed pastries,-4020.0,-125.62,THB,supplier_invoices.csv,inv INV1019
2025-11-24,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-3360.0,-105.0,THB,supplier_invoices.csv,inv INV1020
2025-11-25,expense,Other,,Marketing IG ads,-2500.0,-78.12,THB,expenses_2025.csv,
2025-11-26,expense,Other,GreenLeaf Pastry,Mixed pastries,-3660.0,-114.38,THB,supplier_invoices.csv,inv INV1021
2025-12-01,expense,Dairy & Pastry,,Milk delivery weekly,-4400.0,-137.5,THB,expenses_2025.csv,
2025-12-01,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-2800.0,-87.5,THB,supplier_invoices.csv,inv INV1022
2025-12-01,expense,Payroll,,Payroll — Pim (s001),-18000.0,-562.5,THB,staff_payroll.csv,
2025-12-01,expense,Payroll,,Payroll — Niran (s002),-17000.0,-531.25,THB,staff_payroll.csv,
2025-12-01,expense,Payroll,,Payroll — Maya (s003),-18500.0,-578.12,THB,staff_payroll.csv,cash extra ฿2000 (เงินสด)
2025-12-01,expense,Payroll,,Payroll — Boom (s004),-16500.0,-515.62,THB,staff_payroll.csv,
2025-12-03,expense,Other,GreenLeaf Pastry,Mixed pastries,-3780.0,-118.12,THB,supplier_invoices.csv,inv INV1023
2025-12-04,expense,Coffee Beans,Beans Doi Chaang 8kg,Beans Doi Chaang 8kg,-4640.0,-145.0,THB,expenses_2025.csv,
2025-12-05,income,Sales,,Iced Latte,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,income,Sales,,Cold Brew,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,income,Sales,,Cappuccino,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,income,Sales,,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,income,Sales,,Iced Latte/L,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,income,Sales,,Espresso,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,income,Sales,,Cinnamon Roll,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,income,Sales,,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,income,Sales,,Mocha,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,income,Sales,,Americano/M,59.0,1.84,THB,pos_export_oct2025-mar2026.csv,
2025-12-05,expense,Coffee Beans,Doi Chaang Coffee,Specialty coffee beans,-5800.0,-181.25,THB,supplier_invoices.csv,inv INV1024
2025-12-05,expense,Rent & Utilities,NK Property,Monthly rent,-45000,-1406.25,THB,rent_utilities.txt,
2025-12-08,expense,Dairy & Pastry,Bangkok Dairy Co.,Whole milk (litres),-4060.0,-126.88,THB,supplier_invoices.csv,inv INV1025
2025-12-10,income,Sales,,Banana Bread,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,income,Sales,,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,income,Sales,,Iced Latte/L,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,income,Sales,,Matcha Latte,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,income,Sales,,Banana Bread,49.0,1.53,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,income,Sales,,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,income,Sales,,Americano,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,income,Sales,,Cold Brew,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-12-10,expense,Other,,Holiday decor,-1800.0,-56.25,THB,expenses_2025.csv,
2025-12-10,expense,Other,GreenLeaf Pastry,Mixed pastries,-4080.0,-127.5,THB,supplier_invoices.csv,inv INV1026
2025-12-15,expense,Dairy & Pastry,,Pastry order,-4500.0,-140.62,THB,expenses_2025.csv,
