date,type,category,vendor_or_party,description,amount_thb,amount_usd,currency_original,source_file,notes
2025-10-07,refund,Sales,Customer,Croissant,-65.0,-2.03,THB,pos_export_oct2025-mar2026.csv,void
2025-10-08,transfer,Other,TFR 20251008 TRANSFER 0891234567,TFR 20251008 TRANSFER 0891234567,-4640.0,-145.0,THB,bank_statement_abc.csv,outgoing transfer
2025-10-08,transfer,Other,TFR 20251008 TRANSFER 0817778899,TFR 20251008 TRANSFER 0817778899,-2600.0,-81.25,THB,bank_statement_abc.csv,outgoing transfer
2025-10-08,expense,Dairy & Pastry,,Milk delivery weekly,-4200.0,-131.25,THB,expenses_2025.csv,
2025-10-08,revenue,Sales,Customer,Latte L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,revenue,Sales,Customer,Latte L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,revenue,Sales,Customer,Banana Bread -,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,revenue,Sales,Customer,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,revenue,Sales,Customer,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,revenue,Sales,Customer,Cinnamon Roll -,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,revenue,Sales,Customer,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,refund,Sales,Customer,Latte L,-90.0,-2.81,THB,pos_export_oct2025-mar2026.csv,void
2025-10-08,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-10-08,expense,Dairy & Pastry,GreenLeaf Pastry,INV1004 Mixed pastries,-4500.0,-140.62,THB,supplier_invoices.csv,paid
2025-10-09,revenue,Sales,Customer,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,revenue,Sales,Customer,Mocha M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,revenue,Sales,Customer,Americano M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,revenue,Sales,Customer,Latte M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,revenue,Sales,Customer,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,revenue,Sales,Customer,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,revenue,Sales,Customer,Americano/L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,revenue,Sales,Customer,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-09,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,15685.0,490.16,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-10-11,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,10287.0,321.47,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-10-11,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,revenue,Sales,Customer,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,revenue,Sales,Customer,Cappuccino M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,revenue,Sales,Customer,Cold Brew/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,revenue,Sales,Customer,Americano/L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,revenue,Sales,Customer,Matcha Latte M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,revenue,Sales,Customer,Mocha/M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,revenue,Sales,Customer,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,revenue,Sales,Customer,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,revenue,Sales,Customer,Cinnamon Roll -,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,revenue,Sales,Customer,Latte M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-11,revenue,Sales,Customer,Cinnamon Roll -,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,expense,Rent & Utilities,CITY WATER UTIL,CITY WATER UTIL,-8400.0,-262.5,THB,bank_statement_abc.csv,
2025-10-12,transfer,Other,TFR 20251012 TRANSFER 0823344556,TFR 20251012 TRANSFER 0823344556,-4500.0,-140.62,THB,bank_statement_abc.csv,outgoing transfer
2025-10-12,expense,Dairy & Pastry,,Pastry order,-3800.0,-118.75,THB,expenses_2025.csv,
2025-10-12,revenue,Sales,Customer,Mocha M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,revenue,Sales,Customer,Matcha Latte M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,revenue,Sales,Customer,Americano M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,revenue,Sales,Customer,Iced Latte L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,revenue,Sales,Customer,Americano L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,revenue,Sales,Customer,Iced Latte L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,revenue,Sales,Customer,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,revenue,Sales,Customer,Cinnamon Roll -,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,revenue,Sales,Customer,Banana Bread -,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-12,revenue,Sales,Customer,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-13,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1005 Whole milk (litres),-3850.0,-120.31,THB,supplier_invoices.csv,paid
2025-10-14,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,18263.0,570.72,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-10-14,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,15258.0,476.81,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-10-14,refund,Sales,Customer,Latte M,-75.0,-2.34,THB,pos_export_oct2025-mar2026.csv,void
2025-10-14,refund,Sales,Customer,Almond Croissant,-85.0,-2.66,THB,pos_export_oct2025-mar2026.csv,void
2025-10-14,refund,Sales,Customer,Chocolate Cookie,-45.0,-1.41,THB,pos_export_oct2025-mar2026.csv,void
2025-10-15,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,19779.0,618.09,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-10-15,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,18864.0,589.5,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-10-15,expense,Other,,Cleaning supplies,-1850.0,-57.81,THB,expenses_2025.csv,
2025-10-15,refund,Sales,Customer,Chocolate Cookie,-45.0,-1.41,THB,pos_export_oct2025-mar2026.csv,void
2025-10-15,refund,Sales,Customer,Mocha M,-95.0,-2.97,THB,pos_export_oct2025-mar2026.csv,void
2025-10-15,expense,Rent & Utilities,City Water,Water,-800,-25.0,THB,rent_utilities.txt,avg
2025-10-15,expense,Rent & Utilities,City Power,Electric,-7200,-225.0,THB,rent_utilities.txt,
2025-10-15,expense,Rent & Utilities,FastNet,Internet,-1290,-40.31,THB,rent_utilities.txt,
2025-10-15,expense,Rent & Utilities,Insurer,Insurance (annual),-24000,-750.0,THB,rent_utilities.txt,annual
2025-10-15,expense,Dairy & Pastry,GreenLeaf Pastry,INV1006 Mixed pastries,-3540.0,-110.62,THB,supplier_invoices.csv,paid
2025-10-16,expense,Rent & Utilities,CITY WATER UTIL,CITY WATER UTIL,-9100.0,-284.38,THB,bank_statement_abc.csv,
2025-10-16,expense,Rent & Utilities,CITY POWER ELECTRIC,CITY POWER ELECTRIC,-800.0,-25.0,THB,bank_statement_abc.csv,
2025-10-17,transfer,Other,ATM WITHDRAWAL LINA,ATM WITHDRAWAL LINA,-10000.0,-312.5,THB,bank_statement_abc.csv,owner cash withdrawal
2025-10-18,revenue,Sales,Customer,Latte L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,revenue,Sales,Customer,Cappuccino/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,revenue,Sales,Customer,Americano M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,revenue,Sales,Customer,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,revenue,Sales,Customer,Matcha Latte M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,revenue,Sales,Customer,Cappuccino M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,revenue,Sales,Customer,Latte L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,revenue,Sales,Customer,Mocha M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,revenue,Sales,Customer,Latte L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,revenue,Sales,Customer,Almond Croissant -,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,revenue,Sales,Customer,Espresso S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-18,expense,Coffee Beans,Highland Beans Co.,INV1007 Specialty coffee beans,-5200.0,-162.5,THB,supplier_invoices.csv,paid
2025-10-19,transfer,Other,TFR 20251019 TRANSFER 0891234567,TFR 20251019 TRANSFER 0891234567,-4500.0,-140.62,THB,bank_statement_abc.csv,outgoing transfer
2025-10-20,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1008 Whole milk (litres),-3640.0,-113.75,THB,supplier_invoices.csv,paid
2025-10-21,transfer,Other,TFR 20251021 TRANSFER 0823344556,TFR 20251021 TRANSFER 0823344556,-2600.0,-81.25,THB,bank_statement_abc.csv,outgoing transfer
2025-10-21,expense,Rent & Utilities,FASTNET INTERNET,FASTNET INTERNET,-9100.0,-284.38,THB,bank_statement_abc.csv,
2025-10-21,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,revenue,Sales,Customer,Matcha Latte M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,revenue,Sales,Customer,Mocha M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,revenue,Sales,Customer,Iced Latte/L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,revenue,Sales,Customer,Latte/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,refund,Sales,Customer,Latte M,-75.0,-2.34,THB,pos_export_oct2025-mar2026.csv,void
2025-10-21,refund,Sales,Customer,Latte M,-75.0,-2.34,THB,pos_export_oct2025-mar2026.csv,void
2025-10-21,revenue,Sales,Customer,Latte M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-21,revenue,Sales,Customer,Banana Bread -,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-22,expense,Coffee Beans,,Beans Highland 5kg,-2600.0,-81.25,THB,expenses_2025.csv,
2025-10-22,refund,Sales,Customer,Banana Bread,-55.0,-1.72,THB,pos_export_oct2025-mar2026.csv,void
2025-10-22,refund,Sales,Customer,Almond Croissant,-85.0,-2.66,THB,pos_export_oct2025-mar2026.csv,void
2025-10-22,refund,Sales,Customer,Croissant,-65.0,-2.03,THB,pos_export_oct2025-mar2026.csv,void
2025-10-22,expense,Dairy & Pastry,GreenLeaf Pastry,INV1009 Mixed pastries,-3180.0,-99.38,THB,supplier_invoices.csv,paid
2025-10-24,revenue,Sales,Customer,Mocha M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-24,revenue,Sales,Customer,Espresso S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-24,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-10-24,revenue,Sales,Customer,Mocha M,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-24,revenue,Sales,Customer,Cinnamon Roll -,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-24,revenue,Sales,Customer,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-10-24,revenue,Sales,Customer,Americano M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-25,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,24420.0,763.12,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-10-25,expense,Rent & Utilities,CITY WATER UTIL,CITY WATER UTIL,-7900.0,-246.88,THB,bank_statement_abc.csv,
2025-10-27,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1010 Whole milk (litres),-3150.0,-98.44,THB,supplier_invoices.csv,paid
2025-10-28,transfer,Other,TFR 20251028 TRANSFER 0823344556,TFR 20251028 TRANSFER 0823344556,-6800.0,-212.5,THB,bank_statement_abc.csv,outgoing transfer
2025-10-28,refund,Sales,Customer,Banana Bread,-55.0,-1.72,THB,pos_export_oct2025-mar2026.csv,void
2025-10-28,expense,Payroll,Pim,Payroll 2025-10 s001,-18000.0,-562.5,THB,staff_payroll.csv,
2025-10-28,expense,Payroll,Niran,Payroll 2025-10 s002,-17000.0,-531.25,THB,staff_payroll.csv,
2025-10-28,expense,Payroll,Maya,Payroll 2025-10 s003,-18500.0,-578.12,THB,staff_payroll.csv,cash extra 2000
2025-10-28,expense,Payroll,Boom,Payroll 2025-10 s004,-16500.0,-515.62,THB,staff_payroll.csv,
2025-10-29,refund,Sales,Customer,Cappuccino M,-75.0,-2.34,THB,pos_export_oct2025-mar2026.csv,void
2025-10-29,refund,Sales,Customer,Mocha M,-95.0,-2.97,THB,pos_export_oct2025-mar2026.csv,void
2025-10-29,expense,Dairy & Pastry,GreenLeaf Pastry,INV1011 Mixed pastries,-3060.0,-95.62,THB,supplier_invoices.csv,paid
2025-10-31,revenue,Sales,Customer,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,revenue,Sales,Customer,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,revenue,Sales,Customer,Matcha Latte M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,revenue,Sales,Customer,Americano L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,revenue,Sales,Customer,Americano/L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,revenue,Sales,Customer,Cappuccino/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,revenue,Sales,Customer,Americano L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,revenue,Sales,Customer,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,revenue,Sales,Customer,Cold Brew L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-10-31,revenue,Sales,Customer,Almond Croissant -,85.0,2.66,THB,pos_export_oct2025-mar2026.csv,
2025-11-01,transfer,Other,TFR 20251101 TRANSFER 0866667788,TFR 20251101 TRANSFER 0866667788,-4640.0,-145.0,THB,bank_statement_abc.csv,outgoing transfer
2025-11-01,memo,Sales,Lina's headline,Monthly revenue summary 2025-11,920000,28750.0,THB,monthly_revenue.txt,"Lina's own monthly summary — memo only, not summed"
2025-11-02,expense,Dairy & Pastry,,Milk delivery weekly,-4400.0,-137.5,THB,expenses_2025.csv,
2025-11-03,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,20105.0,628.28,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-11-03,revenue,Sales,Customer,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,revenue,Sales,Customer,Latte/L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,revenue,Sales,Customer,Americano L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,revenue,Sales,Customer,Espresso/S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,revenue,Sales,Customer,Cappuccino M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,revenue,Sales,Customer,Latte L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,revenue,Sales,Customer,Croissant -,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-11-03,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1012 Whole milk (litres),-3220.0,-100.62,THB,supplier_invoices.csv,paid
2025-11-04,refund,Sales,Customer,Latte M,-75.0,-2.34,THB,pos_export_oct2025-mar2026.csv,void
2025-11-04,refund,Sales,Customer,Iced Latte L,-95.0,-2.97,THB,pos_export_oct2025-mar2026.csv,void
2025-11-04,refund,Sales,Customer,Cappuccino M,-75.0,-2.34,THB,pos_export_oct2025-mar2026.csv,void
2025-11-05,expense,Other,,Equipment service - grinder,-3500.0,-109.38,THB,expenses_2025.csv,
2025-11-05,expense,Rent & Utilities,NK Property,Rent,-45000,-1406.25,THB,rent_utilities.txt,
2025-11-05,expense,Coffee Beans,Highland Beans Co.,INV1013 Specialty coffee beans,-5800.0,-181.25,THB,supplier_invoices.csv,paid
2025-11-05,expense,Dairy & Pastry,GreenLeaf Pastry,INV1014 Mixed pastries,-3180.0,-99.38,THB,supplier_invoices.csv,paid
2025-11-06,revenue,Sales,Customer,Cinnamon Roll -,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,revenue,Sales,Customer,Latte M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,revenue,Sales,Customer,Latte L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,revenue,Sales,Customer,Cappuccino/M,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,revenue,Sales,Customer,Iced Latte L,95.0,2.97,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,revenue,Sales,Customer,Chocolate Cookie -,45.0,1.41,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,revenue,Sales,Customer,Latte L,90.0,2.81,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,revenue,Sales,Customer,Matcha Latte/M,100.0,3.12,THB,pos_export_oct2025-mar2026.csv,
2025-11-06,revenue,Sales,Customer,Americano L,75.0,2.34,THB,pos_export_oct2025-mar2026.csv,
2025-11-07,expense,Rent & Utilities,CITY WATER UTIL,CITY WATER UTIL,-7200.0,-225.0,THB,bank_statement_abc.csv,
2025-11-07,transfer,Other,POS DEPOSIT MERCHANT,POS DEPOSIT MERCHANT,18619.0,581.84,THB,bank_statement_abc.csv,POS settlement deposit (also in POS export)
2025-11-09,transfer,Other,ATM WITHDRAWAL LINA,ATM WITHDRAWAL LINA,-8000.0,-250.0,THB,bank_statement_abc.csv,owner cash withdrawal
2025-11-09,expense,Rent & Utilities,FASTNET INTERNET,FASTNET INTERNET,-1290.0,-40.31,THB,bank_statement_abc.csv,
2025-11-10,expense,Coffee Beans,,Beans Highland 8kg,-4640.0,-145.0,THB,expenses_2025.csv,
2025-11-10,expense,Dairy & Pastry,Bangkok Dairy Co.,INV1015 Whole milk (litres),-3780.0,-118.12,THB,supplier_invoices.csv,paid
2025-11-12,expense,Dairy & Pastry,GreenLeaf Pastry,INV1016 Mixed pastries,-4380.0,-136.88,THB,supplier_invoices.csv,paid
2025-11-13,expense,Rent & Utilities,CITY WATER UTIL,CITY WATER UTIL,-6800.0,-212.5,THB,bank_statement_abc.csv,
2025-11-15,revenue,Sales,Customer,Americano/M,65.0,2.03,THB,pos_export_oct2025-mar2026.csv,
2025-11-15,revenue,Sales,Customer,Espresso S,55.0,1.72,THB,pos_export_oct2025-mar2026.csv,
